full_text,label
"搵源頭都唔得？

原文: 俄羅斯官員命令警員搜查旅店、宿舍及住所，尋找可能攜帶病毒的中國人，並使用人臉識別技術強化隔離措施。中方要求停止
https://t.co/smrcheFsOB

●來源：末日四騎士
#俄羅斯 #中國 #武漢 #肺炎 #LIHKG",0
老燒又中，今日香港出現首宗確診個案🙃 https://t.co/hXb0qU3dzq,0
"笑死me垃圾世衛

果然係個笑話

仲割埋自己友

自己咪又係咁?

都無咩好講 真係好垃圾好好笑?



［港台好波］WHO 發聲明並與艾沃德割席

https://t.co/ukwZ5Ypg3t",0
"又中一件，係咁強調無親密接觸係咪心虛先。到時會唔成team中架😏

《香港01》引述消息指，一名入住明愛醫院的31歲男警初步確診感染武漢肺炎，估計屬深水埗警署。

他強調與早前確診的22歲女警沒有緊密接觸，未知是否此地無銀。

#WuhanCoronaVirus 
#武漢肺炎 https://t.co/LBgJbmep4Z",1
"港人在大陸隔離酒店除咗以下,我都有收到港人事主比我資料,佢哋返惠州,因為年紀大,可以隔離三日測兩次陰性,申請返屋企隔離.但啲隔離酒店私下掉晒班老人申請,屈佢哋住十四日,有啲女人家精靈噢識投訴,早少少走到.請恕唔講詳情,始終港人在內地. https://t.co/GQWMWDlrKh",1
"拖咗一年嘅武肺，依家啲關注落到去英國嘅病毒變種…



我開始懷疑主流媒體同Communist globalisation就係由武肺開始。



點解中國散播病毒，好多國家唔單止冇譴責中國，仲利用疫情剝削自由…



個“疫情”就係極權嘅好幫手",1
"武漢肺炎喪屍化 醫生突被支那武漢肺炎患者咬出血
https://t.co/1FRDUwJiSE
- 分享自 LIHKG 討論區

早排講過話，如果呢個世界有喪屍，一定係支那搞出黎😨😨😨😨😨媽，好驚呀😭",1
"不是錢的問題咁係咩問題？?



譚德塞：希望美國不要退出世衛組織　不是錢的問題

https://t.co/xLzqLzjy6P

- 分享自 LIHKG 討論區",0
歐美專家再度確認新冠病毒源自中國 https://t.co/K0BXn5z366,1
"義大利總理孔特週一宣布，由於意大利新冠肺炎病例激增，政府決定將此前對倫巴第大區及北部14個省的封城措施擴大至整個國家。

封國！義大利宣布將封城措施擴大至全國 【新西蘭信報】：
https://t.co/R8kTjBGen8",0
"輝瑞發聲明不會直接賣疫苗給中國包括香港

https://t.co/OLrmNsixEu

- 分享自 LIHKG 討論區 https://t.co/0D55GKYGW7",1
"重磅炸彈，川普反擊！



川普剛剛發表了致譚德塞公開信，歷數了過去5個月來譚向中國磕頭，誤導全世界的罪行，要求對病毒來源和世衛的錯誤進行國際調查！



川普還下了最後通碟，如果世衛不在30天內作重大改革，美國將永久停止給世衛捐款，並退出世衛。",0
"五毛三連

「中國官方數字基本準確」

「台灣疫情瞞報」

「忘了SARS的時候中國怎麼幫你們的」 https://t.co/RUreMMY1v2",0
"其實我想學化學專業的另一個主要原因是我們學校的生化樓（圖二）是配置最高端的，德國人的實驗室也是讓人放心的，至少剛剛看到一位學姐是穿白大袍和防護眼鏡的。

圖一是我們學校最老的ABCD主教學樓。 https://t.co/Dm718wMck0",0
"1219 #武漢肺炎 #高尚情操
有大律師初步確診武漢肺炎，上周曾於法官郭偉健席前處理案件。該名法官以斬人事件評價高尚情操為名。
#蘋果

狗官武漢肺炎下地獄～報應來的太快！武肺加油💪 https://t.co/aS4hhEBfgO",1
"離開實驗室拯救世界。



#塔綾絲看這裡 #タリンス見て #塔綾絲 #假面騎士build https://t.co/46axlfXSQb",0
"日本的大分市與中國的武漢市在1979年就締結為友好城市。在武漢新冠疫情肆虐之際，大分市組織了援助武漢的一系列募捐活動。

試問，在日本遭受地震海嘯等災難時，包括武漢在內的中國任何地區的人，可曾有過這樣的行動?不落井下石都算逼格高了吧!

希望經此一劫後，能讓中國人稍微減少點白眼狼。 https://t.co/0HxpzuNDje",1
【遼寧25歲小夥子自製治療癌症藥物 兩度救母卻致其雙目失明】昨日（10日），網上一則被廣泛轉載的新聞稱，遼寧一男子的母親罹患癌症，醫院下了病危通知書，但他沒有放棄，上網查閱論文，調取資料，買藥品原材料，自己調試藥物，制藥給母親治病，竟兩次將身臨險境的母親“救”了回來。 https://t.co/PjUbxwCIM5,0
"???實驗室日誌1004



神秘生物來襲！(⊙ω⊙)

研究員為了案例買了活體來實驗！



雖然好像蠻可愛的，可是再過一兩個小時他就要被煮來吃了?



——

#Vtuber

#かに 

#秋天是螃蟹的季節 https://t.co/KbmC6qd44k",0
【身高不到一米袖珍夫妻產檢：希望生下寶寶】1月16日，湖南省婦幼保健院產科門診來了一對袖珍准爸准媽，夫妻二人身高均不到一米，連醫院導診台他們都無法夠到。李德忠主任醫師看了四維單後對袖珍夫妻說：“你們的寶寶和你們一樣的幾率比較大，你們能接受嗎？” 夫妻二人表示，“有這樣的心理準備。 https://t.co/Yi19lwPHOb,0
"震驚，美國新冠病毒特效藥「瑞得西韋」被武漢病毒研究所搶注發明專利。武漢病毒研究所人為或疏忽致病毒外洩的疑雲未解，也未見有人被調查和問責，現在又搶注特效藥專利，真有放毒、再賣藥的嫌疑，對現實中國，要不耽以最大惡意去揣測。

https://t.co/i0jMHSUVXs",1
"看吧
不堅持叫武漢肺炎
結果昨天中國駐日使館拋出「日本新型病毒」然後今天媒體又弄出個「美國新型肺炎」的用語 https://t.co/1z9cf4BPTY",1
"單日確診過萬！
照俄爹的脾氣，是絕對嚥不下這口氣的。 https://t.co/anRNXOe3uC",1
《台北法案》通過，台灣國家地位提升，世衛組織不開門迎接就等著關門吧；歷史迷思：美國從未“承認”一個中國的原則！（江峰漫談20200305第131期） https://t.co/TG0tbox0A4 via @YouTube,1
近日美國媒體熱議崔天凱與趙立堅的有關新冠肺炎來源的不同立場，中共是怎麼解釋這種現象呢？今天《環球時報》做了回答：美國人別幼稚了，崔天凱與趙立堅的的說法不同只是中國多元化表達而已，沒有誰對誰錯。這也許是《環球時報》少有的實話，中共的雙簧真的騙到美國人。 https://t.co/flMxJ7G8RT,0
"武漢肺炎中共隱瞞疫情一直被世界嚴厲譴責。臺灣主持人鄭弘儀在節目中爆料，有大陸台商從2月底開始就接到屍袋急單，開始數量都在幾百個，但沒想到近日卻開始出現驚人的訂單數量，從10萬至20萬個都有，令他質疑背後隱情絕不單純。

其實原因很簡單，中國第二波疫情將爆發，必須死很多人，以博取世界同情。",1
【耿爽批駁美方在安理會甩鍋中國：簡直是個恥辱】當地時間9月9日，中國常駐聯合國副代表耿爽在安理會應對新冠肺炎疫情視頻公開會上，嚴厲駁斥美國對中方的政治抹黑和惡意指責。（資料圖）https://t.co/YDORVkcmkC https://t.co/4mDQrHePGz,0
